sentence,target,type,hate speech,sentence_length
আপু আমার খুব ইচ্ছে প্রত্যেক দিন চোদাচুদি করতে চাই কিন্তু আমি সেটা কি করলে প্রত্যেক দিন চোদাচুদি করতে পারি সেটা নিয়ে কথা বলবেন,female,callToViolence,1,23
আপু তোমার দাদুরে আমার খুব পছন্দ ইচছে করে একবার পুটকি মারতে তোমার দাদুরে যদি না পাই তাহলে তুমি আমাকে একবার পুটকি মারতে দিয়ো,female,callToViolence,1,23
আবার কত বড় সাহস্যা আবার বলে তুই বলে ওরে পিটাও মাগীর পোলারে,male,callToViolence,1,12
আমন ছেলে কে রাস্তার মোড়ে বেধে জুতো দিয়ে মারা উচিত,male,callToViolence,1,10
আমরা বিচার চাইএই পশুর বিচার হোক বৃদ্ধ লোকটি কে দেখে চোখে জল এসে গেল কি অসহায় লোকটি একে রাস্তায় উলঙ্গ করে সবার সামনে পেটানো দরকার,ind,callToViolence,1,25
আমরা সাকিব ভাইর পাশে আছি৷ এবং পাপনকে জুতার বারি দেও,male,callToViolence,1,10
আমরাই যথেষ্ট পাপী আর তুই মরলে যে কি হবে ��,ind,callToViolence,1,10
আমাকে একজুড়া চেড়া সেন্ডেল থাকলে দিবেন আমি অপু উকিল কে প্রথমে গুয়া মারবো পরে ওকে ইচা মত দুই গালে পেটাবো!!,ind,callToViolence,1,20
আমাদের দেশের ছেলেদের এতো দর্জ পারলে না সবাই মিলে জুতা পিটা করতে।,ind,callToViolence,1,12
আমাদের প্রধান মন্ত্রীর উচিৎ উনাকে পাছায় লাত্থি মেরে ইসরায়েল পাঠানো। ইহুদিদের চাইতেও খারাপ লোক।,ind,callToViolence,1,14
আমার ইচ্ছে করছে তোকে ছুরি দিয়ে কুপিয়ে চাপাতি দিয়ে কুপিয়ে আগুনে পুড়ায় মারি আমি তোর চেয়ে বয়সে অনেক ছোট কিন্তু তোর জন্য আমার মন থেকে কোনো আপনি ভাষা আসছে না জিবনে যদি কোনোদিন তোকে আমি আমার সামনে পাই তাহলে আমি তোকে খুন করে ফেলবোকোনো আইন আমি মানবো না বলে রাখলাম,ind,callToViolence,1,50
"আমার একটাই প্রশ্ন... এই হরতাল, অবরোধ নকি জনগণের জন্য। জনগণের পক্ষ থেকে ভিন্ন ভিন্ন দল এর ডাক দেয় তাহলে এর মাঝে সাধারাণ জনগণকেই কেন জীবনের ঝুঁকি নিয়ে কাজে যেতে হয়, তারাই কেন জীবন দেয়। আমাদের জীবন কি সত্যিই এতটা সস্তা যে এখন আল্লাহর ইচ্ছার বদলে এসব অমানুষদের(যাদের মনুষ্যত্ব নেই, তাদের মানুষ বলতে পারলাম না) ইচ্ছামত মরতে হবে",ind,callToViolence,1,57
আমার কাছে ওরে দিত আমি ওর হাতের আঙ্গুল গুলো পূতা দিয়া ছেইচ্চা দিতাম,ind,callToViolence,1,13
আমার যে কেমন লাগতেছে মনচায়ছে কলকাতায় গিয়ে ওর হাত দুইটা কেটে ফেলি,ind,callToViolence,1,12
আমার সামনে পেলে তাকে জুতা দিয়ে ভালো করে মারতাম যতখন আমার হাত না বেথা হয়,ind,callToViolence,1,15
আমার সোনা দশ ইনতি করবো তরে চোদার জন্যে দিবি কি,female,callToViolence,1,10
আমার হাতে একটা বেত থাকলে ওদের সবার পাছায় ক্রস ক্রস করে কয়েকটা মারতাম! যেমনে ওরা পোলা পাইনের পাছা চেক করে!,group,callToViolence,1,20
আমার হাতের কাছে ওরে পাইলে কোপাইতাম ইচ্ছে মতোন ভিডিওটা দেখার পরথেকে আমার রাতের গুম হারাম হয়ে গেছে,ind,callToViolence,1,17
আমি একজনই আমার মনে হছে এদেরকে জুতো মারতে ইচ্ছা করছে,group,callToViolence,1,10
আমি কলকাতার পশাসনের কাছে অনুরোধ ওকে মেরে মেরুদন্ড বেঙ্গে দেওয়া হোক মা বাবা দুই জনেই সমান,ind,callToViolence,1,16
আমি চাই আজাদী এনআরসি হবে না হবে না বেশি বাড়াবাড়ি করলে নরেন্দ্র মোদির অমিত সাহার মুখে জুতো দেশ থেকে বিদায় করব,male,callToViolence,1,21
আমি চাই মিজানুর রহমান ভন্ড তাহিরিকে জুতা দিয়ে পিটাক কে কে এক মত জানাবেন,ind,callToViolence,1,14
আমি চুদে ওকে বাচ্চা দেব আমার না ওকে খুব ভালো লাগে আমি ওকে চুদব আর কেউ না �����‍�‍��‍�‍�������,female,callToViolence,1,18
আমি ছেলেটাকে পাইলে বাথরুমের ফালানো করা জুতা দিয়া পিটাইতাম মনের মত কইরা জতক্ষন ওই না মরত ছিহ এই বাবা ইত্ত অকে জন্ম দিছে এই বাবার গায়ে হাত কিভাবে তুলে উচিত শিক্ষা আইন অকে দিক জাতে আর কুন ঘরে এই ধরনের কাজ না হয়,male,callToViolence,1,43
আমি জদি পাপনকে পিটাইতে পারতার আর এার মায়রে চুদি সালাগো ��� সাকিব এর জন্য অনেক কষ্ট পেলাম�����,male,callToViolence,1,17
আমি তোমার সাথে এক রাত কাটাতে চাই তুমি কতো টাকা নেবে আমাকে জানাবে আমি তোমার কিছু করবোনা শুধু তোমার সাথে কথা বলবো তুমি রাজি থাকলে আমাকে জানাবে,female,callToViolence,1,27
আমি তোর মাকে আর তোকে এক সাথে চুদবো হাজার দিবো রাজি,female,callToViolence,1,11
আমি থাকলে মাথায় হাত দেওয়া মাত্রই চড় মেরে দাত ফেলে দিতাম বিচারকের।,ind,callToViolence,1,12
আমি মনে করি যে পুলিশ এরকম বেবুহার করে তাদের মত পুলিশকে জুতার মালা গলায় দিয়ে ঘুরিয়ে জারো আমি এক সেীদি পূবাসী ভাই,group,callToViolence,1,22
আমি মালায়েশিয়া থেকে বলছি। মিন্নির মতো মেয়েকে ফাঁসির আগে জন ইয়ুজ করার পর ওর সরিলটা টুকরো টুকরো করে কুকুর দিয়ে খাওয়াক। আর ধন্যবাদ পুলিশকে এই যন্ন জে মিন্নির মতো মাগিকে ধরার যন্য। আর ওর গুদির ভিতড গরম ডিম আর আসুলা বাশ দিলে সব শিকার করবো। আমার সোনার বাংলা আমি তোমায় ভালোবাসি। জয় বাংলা জয় বাংলার পুলিশ সেলুট,female,callToViolence,1,57
আমি যদি তাকে সামনে পেতাম তা হলে আল্লাহর কছম আগে তার হাতটা কাটতাম,ind,callToViolence,1,13
আমি যদি সে প্রতিযোগিদের যাইগাই থাকতাম সেই বিচারক কে জুতার বাড়ি দিয়ে আমিই হয়ে জেতাম আসল হিরু,ind,callToViolence,1,17
আমি সরকারের কাছে অনুরোধ জানাচ্ছি এই লোকটারে যেনো আধাঘন্টার জন্য আমার হাতে তুলে দেয়ওর হাত দুইটা কাইটা ওর বৌ এর ভোদায় ডুকরাইয়া দিমু কসম,male,callToViolence,1,24
আর কিছুদিন অপেক্ষা করো তোমার ছেলের হাতে এমন মার খাওয়ার জন্য,ind,callToViolence,1,11
আর দেখতে পারছি না জে ভিডিওটা করছে সে কি বাধা দিতে পারে নাই এই ছেলেকে জদি একবার পাইতাম দরকার হলে বুঝাইয়া দিতাম মাইর কারে কয় ওরে জনগন দিয়ে লেংটা করে রাসতায় দৌড়াইয়া মারা উচিত,ind,callToViolence,1,34
আরে আপনার মত মহিলা বাঁচার ছেয়ে মরে যাওয়া অনেক ভালো আপনি এখনো কচু গাছে ফাঁসি দিয়ে মরেন নাই আমার মনে হয় আল্লাহ আপনাকে লজ্জা শরম বলতে কিছুই দেয় নাই ছিঃ ছিঃ ছিঃ,female,callToViolence,1,32
আরে তাসকিন বাদ গেলো কেন দুইটা থাপ্পড় তাসকিন কেউ মারা উচিত ছিল তাহলে ওর হাসি হোগা দিয়ে বের হতো দুইটা গাধা কে রেস খেলাইতেছে একটা গরু,male,callToViolence,1,26
আরে ভাই ইনি কি বাল বলবে কিছু বলরে ওনার উপার কালকে হামলা করবে,ind,callToViolence,1,13
আল্লা সত‍্য আল্লার কোনো শরিক নেই তুই তার চেয়ে বিগ্গানি না তোরে তোর মারে তোর মেয়ে রে এক সাথে চুদবো তোর বাপ তোর ছেলে দেখবে,female,callToViolence,1,25
আল্লার কচম তুই নামাজকে গালি দিলো তোর মার পুটকি দিয়ে তোরে বইরা দিমু,female,callToViolence,1,13
আল্লাহ আল্লাহ আল্লাহএইসব কিভিডিওটা দেখে আমার সয্য হল না মনে করছে হের দুইটা হাত পারা দিয়া ধইরা কাইটা দেই,ind,callToViolence,1,19
আল্লাহ ওদের কে এ পৃথিবী কঠিন শাস্তি দিয়ে দুনিয়া থেকে নিপাত করেন।,ind,callToViolence,1,12
আল্লাহ জে জন রায় দিয়েছে তাদের উপর গজব নাজিল কর,group,callToViolence,1,10
আল্লাহ দুনিয়াতে এবং আখেরাতে এর কঠিন বিচার করো তোমার ভয়ঙ্কর গজব দাও এর উপরে আর দয়া করো রহম করো এই নিরীহ বৃদ্ধ যুগলকে,ind,callToViolence,1,23
আল্লাহ ভিডিওটা দেখার সাহস পাইনিআল্লাহ তুমি এই ছেলের উচিত বিচার করোএক গজবে তুমি দেখিয়ে দাও পিতা মাতার প্রতি কোন কাফরের যেনো খারাপ আচরনের সাহস না পায়,male,callToViolence,1,26
আল্লাহর গজব পড়ছে ক্রিকেটারদের উপর<br />আল্লাহ্ মাফ করো হেদায়েত দান করো,group,callToViolence,1,11
আল্লাহর গজব পরুক হে আল্লাহ আপনি ছাএলীগকে ধংস করুন ৷ আমিন,group,callToViolence,1,11
আল্লাহর গজব শীগ্রই আসবে ভারতের উপর ইনশাআল্লাহ শতবছরের বাবরি মসজিদের ভাংচুর করার অনুমতি দেয়া লোকজনের উপর,group,callToViolence,1,16
আশরাফুল যদি তখন থাকত তাহলে আজ উন্নত হতো।পাপন কান্না করাইলি।খোদার কসম যদি তোকে পাইতাম তাহলে তোকে জুতা দিয়ে পিটাইতাম,male,callToViolence,1,19
আসলে বাবা মা এত কষ্ঠ করে বরো করছে এটাই ভূল যদি আগে যানতো সনতান বর হয়ে এমন হবে তাহলে গলা চিপে মেরে ফেলা উচিত ছিল,ind,callToViolence,1,25
আসসালামু আলাইকুম ভাই আমি দেওয়ান বাগিকে জুতা মারার কথা বলবনা আমি বলব দেওয়ান বাগির জিবহা টা টেনে ছিরে ফেলা উচিত,male,callToViolence,1,20
আহহহ পুলিশের কি দয়া রে ভাই ওরে ত রোডে ফালায়া পাড়া ধুলায় দেওয়া উচিৎ,ind,callToViolence,1,14
ইচ্ছা হয়তাছে একটা ফাউল করে সালির ফুটবলে একটা ফ্রি কিক করে গোলকিপারের নাকটা ধুদ দিয়ে ফাটিয়ে দে ই ����,female,callToViolence,1,19
ইন্ডিয়া থেকে বলছি পাপন কে গুলি করে মারুন।শাকিব খুব ভাল প্লেয়ার।,male,callToViolence,1,11
ইয়া আল্লাহ তুমি তুমার বান্দাকে হেদায়েত করেন আমি ঐ ছেলে কে হাতের কাছে পেলে ওকে মেরে আমি ও মরলেও সান্তি পাব না,ind,callToViolence,1,22
ইয়েস ওকে আমার কাছে পাঠিয়ে দাও এক রাত আমার কাছে থাকবে,female,callToViolence,1,11
ইশ্বর তোকে জ্ঞান দান করুক আর আমি তোকে পাইলে তোরে ওইখানেই পিটামু,ind,callToViolence,1,12
ইসলাম মুহাম্মাদ ও মুজিব নিয়ে এতো বড় কথা আমি এরে খুন করবো আমার যা হয় হবে,ind,callToViolence,1,16
ইসলামের শরিয়তের মত বিচার করা হক। জিনা করা সাস্তি ইট পাথর মেরে ফেলা হক। তার কোন বেচে থাকা জায়েজ নয়। তাকে আল্লাহ কোন দিন মাফ করবেন্না।,ind,callToViolence,1,26
ইস্ কী চোদনটাই না চুদছে ধরে । অসুস্থ তো হবার কথাই � । নিষ্ঠুর ডিসি মহিলার ছবি প্রকাশের জন্য আমি নিন্দা জানাচ্ছি আছে ভোদা দিসে চোদা । যে চুদছে তার ভিডিও কৈ । নাকি ঐ ডিসি তোমার পুটকি চুদেছিল তাই ভিডিও দাওনি,male_female,callToViolence,1,42
উপকার নামাজ সবার কথা আছে না ওর পিটানো উচিত মেয়েটা,female,callToViolence,1,10
এ ব্যাডা তুই আমার মহানবিকে নি খারাপ কথা কস তোরে হাতের কাছে পাইলে মারতে মারতে মাইরা ফেলাই তাম,male,callToViolence,1,18
এ সিফাত তোর মায়রে আমি চুদি তুই বাংলায় আয় একবার আয় পারলে তুই নামাজ নিয় খারাপ কথা বল্লি ক্যন,female,callToViolence,1,19
এই ছেলে কোন দিন বেহেস্ত পাবে না ওকে জীবন্ত মারা উচিত,male,callToViolence,1,11
এই ছেলে তোমাকে দোজি আমার সামনে পাইতাম তা হলে তরে আগুন জালাইতাম,male,callToViolence,1,12
এই ছেলেকে পিটিয়ে বাড়ীর থেকে বের করে দেওয়া উচিত আর যেখানে কাজ করে সেখানকার অধিকারীর কাছে অনুরোধ রইলো যে এই অমানুষ পশুকে লাথি মেরে কাজ থেকে বের করে দেওয়া উচিত,male,callToViolence,1,30
এই ছেলেকে সবার সামনে উলঙ্গ করে গাছের সাথে বেঁধে চাবুক দিয়ে পিটিয়ে মেরে ফেলা উচিত,male,callToViolence,1,15
এই ছেলেটাকে যখন জন্ম দিলেন তখন মার উচিত ছিল ওকে গলা টিপে হত্যা করা যে এই ছেলে বাবার গায়ে হাত তুলতে একটু দ্বিধাবোধ করছে না সেই ছেলেটাকে আমি হলে মেরে ওকে আমি পানিতে ফেলে দিতাম,male,callToViolence,1,35
এই ছেলেটার যে হাত এই ভাবে এই বুড়ো বাবার গায়ে তুলেছে এর উপযুক্ত ব্যবস্থা নেওয়া হোক গনোজনের কেছে আমার আবেদন মাঝ রাস্তায বেধে রাখা হোক অনাহারে তার সাথে তার বৌও কেও একি রকম করা হোক কারন সে মারটা দাড়িয়ে দেখছিলো বাচালোনা কেনো,male_female,callToViolence,1,42
এই ছেলের জিন্দা থাকার কোন অধিকার নাই কয়টা থাপ্পর দিলো সে মানুষ না জাণয়ার,male,callToViolence,1,14
এই ছেলের হাত যেন আল্লাহ জিবনের মত অবস করে দেই,male,callToViolence,1,10
এই ছেলের হাতদুটো কেটে দেয়া হোক এটাই আমরা বিচার চাই,male,callToViolence,1,10
এই টাক কাকু পারলে বাংলাদেশ এ আসো তোমার গুস্তিরে চুইদা ফাক কইরা দিমু,group,callToViolence,1,13
এই তর মাক্কে চুদি বাংলাদেশ এ আই ক বাংলা চুদা চুদব তরে,female,callToViolence,1,12
এই তিন টি মায়ে মিলে শাকিব কে জূতা পিটা লে ভালো হায়ে জাবে শাকিব,male,callToViolence,1,14
এই ধরনের ছেলের বেঁচে থাকার অধিকার নেইতার দুই হাত কেটে নেওয়া হোক,male,callToViolence,1,12
এই পুলারে ধরে গরম ডিম দিলে সব বের হবে।মেয়ে যদি রিফাতের হত্যা চাইতো তাহলে সাথে থাকার দরকার কি? আর তাকে কোপ দিবে কেন। এটা পাগলেও বুঝে একে পাবার জন্যতো রাস্তই পরিস্কার করল নয়ন,male,callToViolence,1,33
এই পুলিশ এর টিকানা চাই জুতা নিজ হাতে মারতে চাই,ind,callToViolence,1,10
এই পোস্ট পড়ার পরও যার শরীর গরম হবেনা এবং গোসল করবেনা। তার পাছায় ট্রশ ট্রশ করে জালি বেত দিয়ে মারা হবে। কি অসাধারণ পোস্ট। অতুলনীয়। জয় গর্ত দার জয়,ind,callToViolence,1,29
এই বিচারক দের কে জুতা পিঠা করলে ও জুতার অপমান হবে,group,callToViolence,1,11
এই বেয়াদপ ছলেকে যুতোর মালা গলায় দিয়ে পেটাতে পেটাতে পুরো এলাকায় গুরাও,male,callToViolence,1,12
এই বেয়াদব বাচ্ছারে ফাঁসি দেওয়া হোক এই সব ছেলের বেঁচে থাকার কোনো অধিকার নেই,male,callToViolence,1,14
এই মহিলা ডাক্তারকে চুদতে হলে কত টাকা লাগবে কেউ তার সাথে যোগাযোগ থাকলে আমাকে জানাবেন,female,callToViolence,1,15
এই মহিলার একটা লাইভ ট্রিটমেন্ট দরকার একদম হাতে কলমে কারন উনার ডিব্বা দুটোওতো জুলে গেছে,female,callToViolence,1,15
এই মানুষটা কে জুতো মারা দরকার ।বিয়াদব মাওলানা সাতে বিয়াদবী করে।,ind,callToViolence,1,11
এই মেয়ে তুর মা বাপ কই তু র পাছায় টস টাস করে জারু দিয়া মারতে হবে,female,callToViolence,1,16
এই মেয়েকে আমি যদি পেতাম ��� তাহলে টস টস করে কয়টা তাপপর মারতাম বেয়াদব মেয়ে আমার মনে হয় তার পরিবার তার মতোই�����,female,callToViolence,1,22
এই মেয়েকে জুতা পিটা করে দেশ থেকে বাহির করা দরকার,female,callToViolence,1,10
এই মেয়েকে সরাসরি চুদতে চাইলে আমার সাথে যোগাযক করুন আমি আরমান ভাই,female,callToViolence,1,12
এই ম্যাডাম কে জুতো মারা দরকার কারন বিশ ছড়ানো হচ্ছে এমন কোনো খবর নাই,female,callToViolence,1,14
এই রকম ছেলে কে মানুষের সামনে ফাসি দেওয়া উচিত যাতে মানুষেরা দেখে অার এই রকম কাজ করতে না পারে,male,callToViolence,1,19
এই রকম ছেলে থাকার চেয়ে না থাকায় ভালো জিবনে সুকে থাকতে পারবি না,male,callToViolence,1,13
এই রকম ছেলেকে আর ছেলের বউ কে একই গাছের সাথে পিটিয়ে ইচ্ছা মতো বারোতে হবে,male,callToViolence,1,15
এই রকম ছেলেকে মখু লবণ দিয়ে মেরে ফেলা উচিত আর না হয় সারা শরীর বেল্টে দিয়ে কেটে তাতে লবণ আর লেবুর রস দিয়ে আসতে আসতে মেরে ফেলা উচিং খারাপ লোক যার জন্য পৃথিবী দেখেছে তার গায়ে হাত,male,callToViolence,1,37
এই রকম লোকদের জনসমক্ষে হাত কেটে দেওয়া উচিত তাহলে আর কেউ এইরকম করার সাহস করবে না,ind,callToViolence,1,16
এই লুচ্ছা হুজুরগুলোকে মুকি এবং পাচাই লাতি মেরে দেশ থেকে তাড়িয়ে দেওয়া উচিৎ,group,callToViolence,1,13
এই লোকটা যদি আমাদের ইন্ডিয়ায় হতো এই লোকটাকে গলা কেটে ঝুলিয়ে দিয়েছো,male,callToViolence,1,12
এই লোকটাকে জুতু দিয়ে পিটিয়ে জুতুর মালা পরিয়ে সারা বাড়ি গোরোনো উচিত,male,callToViolence,1,12
এই লোকটার গায়ের চামড়া ছিলে লবন লাগিয়ে দিয়ে কড়া রোদে দাড়িয়ে রাখতে হবে যাতে যেন আর কেউ কোনদিন পিতা মাতার গায়ে হাত না তোলে,male,callToViolence,1,24
এই লোকটার যদি কোনো বাচ্চা থাকে তাহলে তার হাত দিয়ে তাকে মার খাওয়ানো উচিত যে ভাবে সে তার বাবা ক মেরেছে সেইভাবে তাহলে সে বুঝবে তার বাবার কতটা কষ্ট হয়েছে এবং তার বাবার মনের অবস্থা কি ছিলো,ind,callToViolence,1,37
এই লোকটার হাত দুটি কেটে ফেলা উচিত তাহলে বুঝতে পারবে বাবা মায়ের গায়ে হাত দিয়ে কি সাজা পেয়েছে সে আর এইভাবে তাকে ছেড়ে দেয়া উচিত যাতে হাত না থাকে তাহলে বুঝতে পারবে সারা জীবন যখন হাতে কিছু খেতে পারবে না তখন ঐ কষ্টটা বুঝতে পারবে যে বাবা মায়ের গায়ে হাত দিয়েছে,male,callToViolence,1,51
এই লোকে কাছে পেলে কি যে করতাম একে তো মেরে ফেলা উচিত,male,callToViolence,1,12
এই লোকের হাত দুইটি কেটে ফেলা হককি ভাবে বাবা সরিলে হাত উঠায় কঠিন বিচার করা হক,male,callToViolence,1,16
এই শিক্ষক গুলো হল ছাত্রলীগের গোলাম তাদের গালে গালে জুতা মারো তালে,group,callToViolence,1,12
এই সব ছেলে মেয়ে দের জুতা পিটা করার দরকার আছে,group,callToViolence,1,10
এই সব ভন্ড্র দের কে জুতা মারা উচিত আর ইট পাথরের আঘাত করে কুকুর কে,group,callToViolence,1,15
এই সব মাওলানা কে মারা উচিত কেন না তুই নিজের কথা ক না হলে পরে কথা ধরে টানিশ কেনো যতো সব ঝগড়া লাগা মাওলানা,group,callToViolence,1,24
এই সমস্ত ভন্ডদের পাছার ভিতরে বাঁশ দিয়া দ্বারা কইরা রাখা উচিত রাখা উচিত,group,callToViolence,1,13
এইরকম ছেলেকে জ‍্যান্ত পুরিয়ে মারা উচিত বলে আমার মনে হয়,male,callToViolence,1,10
এইরকম ছেলেকে থাপ্পড় দিয়ে দিয়ে চাপার সব দাত ফেলে দেয়া উচিত আর জীবন্ত পুরিয়ে দেয়া উচিত,male,callToViolence,1,16
এইরকম সন্তানদেরকে মাজা পর্যন্ত মাটিতে পুতে পাথর মেরে মেরে ফেলা উচিৎ,ind,callToViolence,1,11
এইসব অমানুষদের ন্যাকা কান্না এইসব ন্যাকা কান্না করে কোনো লাভ হবে না আর এরা কাদের জন্য কান্না করে?? এরা তো এক একটা জানোয়ার জানোয়ারকে যারা সাপোর্ট করে এরা হলো আরেক পশু � যত্তসব ন্যাকার দল���,ind,callToViolence,1,35
এইসব আবাল চোদা মার্কা প্রোগ্রামে যদি আমি এটেন্ড করতাম আর আমার সাথে সেইম কাহিনী ঘটতো তবে আমি এইসব খানকির পোলা বিচারকদের জুতা নিক্ষেপ করে আসতাম ��,ind,callToViolence,1,26
এক একটা থাপ্পরে কলিজা টা কেঁপে উঠল এই সময় ওকে যদি আমি কাছে পেতাম তাহলে কি যে করতাম মুখে বলে পারছি না,ind,callToViolence,1,22
এক কথায় মেযেটার দুধে লাথি মেরে রস বাহির করি দেয়ার দরকার,female,callToViolence,1,11
এক জনে চুদছে চুদুক নারে ভাই সমস্যা কি। চুদস কি খারাপ। এটা মজার জিনিস,ind,callToViolence,1,14
একটা ইঞ্চি রড টানা ঘন্টা গরম করে এই ভন্ডর পাছা দিয়া এক ঠেলায় ভরে দিতে পারলে শান্তি পাইতাম,ind,callToViolence,1,18
একদম দালালি রায় দিয়েছেজারা এই রায়ে মদত দিয়েছেএরা জ্যানো কুকুরের ন্যায় পাগোল হোয়ে মরেআল্লাহ এদের তুমি কারুন হামান ফেরাউনের মোতো ধংশ করে দিও,ind,callToViolence,1,23
একে জন সাধারণ কে দেওয়া হক আমরাও একটু পেনটি খুলমু,ind,callToViolence,1,10
একে জ্যান্ত কবর দেওয়া দরকার আল্লাহ এর জীবনে যেন মাফ না করে,ind,callToViolence,1,12
একে বলে শিক্ষিত মুৱক্ষ আমাৱ যদি কেও হত গুলি কৱে মাৱতাম,ind,callToViolence,1,11
