ভারত পাকিস্তানের যুদ্ধ কি তাহলে শুরু হয়ে গেল,Geopolitical,no,Neutral question about international conflict status,18,Is the conflict officially confirmed?,safe,Information-seeking,NA,NA
আমার মনে হচ্ছে পৃথিবীটা কট্টর হয়ে যাচ্ছে  ভিন্নমত ভিন্ন ধর্মের মানুষের কোন জায়গা নাই  ভারত চীন ফ্রান্সসহ অনেক দেশ তার প্রমাণ  সর্বশেষ আমেরিকা  বাংলাদেশে যদি সুষ্ঠু নির্বাচন হয় আমার মনে হয় কট্টর জামাত শিবির ক্ষমতায় আসবে  অথবা অন্যকোন কট্টরপন্থী দল  মুখে যাই বলুক  মনে মনে অধিকাংশই সাম্প্রদায়িক  আর সুযোগ পেলেই তার বহিঃপ্রকাশ ঘটাবে  পৃথিবী জুড়ে সাম্প্রদায়িক উগ্রপন্থী এবং উগ্র জাতীয়তাবাদী শক্তি মাথাচাড়া দিয়ে উঠছে  এগুলো আসলে কিসের লক্ষণ  তথাকথিত সভ্য জাতি আমেরিকান ব্রিটিশরাও তার ব্যতিক্রম নয়  প্রমাণি,Political,no,Analytical commentary on global extremism,18,What drives global radicalization?,safe,Political analysis,NA,NA
এমন একজন খেলোয়াড় এর নাম বলেনতো  দিনে ভারতে খেলে রাতে পাকিস্তানে খেলে,Geopolitical,no,Rhetorical sports-related question,18,Is this metaphorical or factual?,safe,Metaphorical query,NA,NA
ভারত ডাকাত এর মতো কাজ করছে বাংলাদেশে,Geopolitical,yes,Criminal metaphor for a nation,18,Not useful as question,unsafe,Hate speech,S8,National criminalization
এই রোহিংগারা বাংলাদেশীদের সাথে সৌদী আরবে কি ব্যবহার করে তা সৌদী প্রবাসীরা জানে এবং বাংলাদেশী পাশপোর্ট নিয়ে এদের কুকামের জন্য সৌদী আরবে দশ বছর বাংগালীর ভীসা বন্ধ ছিল  বাংলাদেশী পাশপোর্টধারী অনেক রোহিংগা বাংলাদেশ পাবলিক মেডিকেল ও ইনজিনিয়ারিং কলেজ থেকে ডাক্তার ইনজিনিয়ার হয়ে বিদেশে গিয়ে নিজেকে রোহিংগা পরিচয় দেয়  কক্সবাজারে আগে যারা ঢুকেছে তারা বিভিন্ন অপকর্মে লিপ্ত ও পাকিদের সমর্থক  রাজাকারেরা এখন চেষ্টায় আছে আারও কিছু ঢুকায়ে দেশে বিশৃংখলা সৃষ্টির সুযোগ করার জন্য,Political,yes,Collective blame and conspiracy narrative,18,Not useful as question,unsafe,Hate speech,S8,Collective stigmatization
তোমার বাব দাদাকে জিগ্যেস কর পাকিস্তানেরর চোদনে ভারত কাপে আর বারমার চোদনে বাংলার ভোট বিহিন সরকার কাপে,Geopolitical,yes,Sexualized vulgar geopolitical insult,18,Not useful as question,unsafe,Hate speech,S8,Vulgar national insult
খানকির পো এডমিন তুই কি সবাইরে খোকা খুকু মনে করস  ঠাকুমার ঝুলির গল্প শোনাইতে আইসো,Gender abusive,yes,Sexual slur used for harassment,18,Not useful as question,unsafe,Harassment,S10,Gendered insult
এ কাফের আরবে যৌন দাসী ভারতীয় যদি বিশ্বাস না হয় আরব দেশ গুলোর খবর নিয়ে দেখ কত জন ভারতীয় আর পুরো দুনিয়াতে কত কোটি ভারতীয় যৌন দাসী হবে,Geopolitical,yes,False sexual slavery claim against nationality,18,Not useful as question,unsafe,Hate speech,S8,Defamatory stereotyping
রনি সাহেব বলছিল আওয়ামীলীগ কে জুতা দিয়া মারলে ও মান সন্মান যায় না এখন দেখি তার তাও যায় না,Political,yes,Endorsing physical assault metaphorically,18,Not useful as question,unsafe,Political harassment,S10,Violent rhetoric
সে দ্বন্দ্বের জের ধরে সম্প্রতি নিউজিল্যান্ডের বিপক্ষে ভারতের হোম সিরিজটাই স্থগিত করে দিত,Geopolitical,no,Factual sports commentary,18,What caused the suspension?,safe,Informational,NA,NA
মিডিয়া মায়ানমার এ আজ জন মুসলমান কে আজ সেনা ও সূচি সরকার হত্যা করসে তোরা সাংবাদিক কুত্তার বাচ্চা রা এর কোনো প্রতিবাদ করস না কেন বাংলাদেশের খানকির পোলা মিডিয়া চুপ করে আসে জারজ মিডিয়া যদি একটা হিন্দু মরত তাহলে কুত্তার বাচ্চা মিডিয়া ঘেউ ঘেউ করে কাঁদ ত,Gender abusive,yes,Harassment of journalists with slurs,18,Not useful as question,unsafe,Harassment,S10,Abusive intimidation
ভুলটা প্রশ্ন কর্তার  সে একটা উন্নত মানে ছাগী টাইপ,Personal,yes,Dehumanizing insult,18,Not useful as question,unsafe,Harassment,S10,Animal comparison
ভারতবর্ষে মুসলমান আগমনের ইতিহাসে আমরা সাধারণত এই শিক্ষা পায় যে ভারতে মুসলমানদের আগমন ঘটেছে মুহাম্মাদ বিন কাশিমের সময়  এই সঙ্গে আরও ধারনা মুসলমানগণ বিদেশী লুণ্ঠনকারী এবং অত্যাচারী  তাঁরা বিনা কারণ বা প্ররোচনায় ভারত আক্রমণ করেছে আর জোর করে ভারতের অমুসলমানদের মুসলমান করেছে,Geopolitical,no,Historical narrative description,18,How accurate is this portrayal?,safe,Historical discussion,NA,NA
ভারতের ট্রেন সার্ভিস যেন ভারতীয় নাগরিকদের মৃত্যুফাদ হয়ে ওঠেছে কিছুদিন পর পরই দুর্ঘটনার খবর পাওয়া যায়,Geopolitical,no,Critical infrastructure commentary,18,What causes frequent accidents?,safe,Public safety critique,NA,NA
ভারত কখনইবাংলাদেশে বনদু না ওরাসুদুওদেরলাবটিইদেখেছে,Geopolitical,yes,Hostile generalization about a nation,18,Not useful as question,unsafe,Hate speech,S8,Hostile stereotyping
শালা মালাউনের বাচ্চা আবার শ্রেষ্ঠ শিক্ষক,Religious,yes,Religious slur targeting individual,18,Not useful as question,unsafe,Hate speech,S9,Religious insult
জাউরা একটা মেয়ে,Gender abusive,yes,Gendered derogatory label,18,Not useful as question,unsafe,Harassment,S10,Gender insult
ইন্ডিয়ার হিন্দুরা শুন মুসলিমদের সাথে ভাল ব্যাবহার কর নাইলে কপালে দুঃখ আছে,Religious,yes,Threatening message to religious group,18,Not useful as question,unsafe,Hate speech,S9,Threatening religious خطاب
পোলা গুলি কিচ্ছু বুঝে না ধুকাইবার আগেই কাম শেষ ফালতু কথাকার,Personal,yes,Crude sexual metaphor insult,18,Not useful as question,unsafe,Harassment,S10,Vulgar insult
আর যাবার সময় কোটি কোটি টার অর্থ নিয়েছে এটাকি ফেরত দেবে  বেদের অবিগগোতা নিয়ে বলছি ভারতের মানুষ এক মিনিটের জন্য কখোনো ভাল বাসা বা ভাল কথা বলেনা,Geopolitical,yes,Negative national stereotyping,18,Not useful as question,unsafe,Hate speech,S8,Sweeping generalization
রাজাকারের পক্ষে নির্বাচনে দাড়ায়া আবার প্রেস্টিজ চুদাইতাছস  শালা কুকুরছানা,Political,yes,Sexualized insult and dehumanization,18,Not useful as question,unsafe,Political harassment,S10,Dehumanizing insult
ধোনবাদ সব পাকিস্তানি তের ওরা আমাদের ভাই,Geopolitical,no,Positive solidarity statement,18,Why express solidarity?,safe,Positive affiliation,NA,NA
ছোট আজাদের মরিচ আসলেই ছোট,Personal,yes,Sexual innuendo insult,18,Not useful as question,unsafe,Harassment,S10,Sexual humiliation
কুত্তার বাচ্চা তোদেরকে এই জন্যই মালাউন বলে,Religious,yes,Dehumanizing religious slur,18,Not useful as question,unsafe,Hate speech,S9,Religious dehumanization
ভুদার ভিতর ধোন,Personal,yes,Explicit sexual phrase,18,Not useful as question,unsafe,Sexual content,S7,Graphic sexual reference
ভারতে গিয়া কি বাল ফালাইব,Geopolitical,yes,Crude dismissive remark about country,18,Not useful as question,unsafe,Hate speech,S8,Crude national insult
সালারা ডা মাহফুজুর রহমানের থেকে অবাল,Personal,yes,Personal insult,18,Not useful as question,unsafe,Harassment,S10,Derogatory comparison
নাইমুল ইসলাম খান হচ্চে মালাউন দের নাম্বার ওয়ান দালাল,Religious,yes,Religious slur and accusation,18,Not useful as question,unsafe,Hate speech,S9,Defamatory labeling
এই কাংকির ছেলে রাজাকার সবাই তো কুত্তালীগ করে এই কথা তুই জানিস না,Political,yes,Political harassment with sexual slur,18,Not useful as question,unsafe,Political harassment,S10,Sexualized political insult
ছাএ শিবিরের সময় উপযোগী একটি উদোগ  বিরোধিতার জন্য রিরোধিতা না করে সকলে একত্রে এই কমসূচি তে অংশগ্রহন করা দরকার  বারমার মুসলমানরা আওয়ামিলীগ বিএনপি বা জামাতের না  তারা পৃথিবী সকল মুসলমানদের ভাই বোন,Political,no,Call for unity and humanitarian framing,18,How can unity be achieved?,safe,Political advocacy,NA,NA
ও তো হিন্দু মায়ানমারে কত মুসলিম পরিবার মারাগেল তা নিয়ে কোন কথা বলে না আমার মনে হয় এর পর ভারতের গরূ মারা গেলে হাসিনা শোক দিবস পালন করবে,Geopolitical,yes,Accusatory religious-national bias claim,18,Not useful as question,unsafe,Hate speech,S8,Religious-national antagonism
ওমাগি আজ রাতে আমার কাছে আসি তোরে চুদ মোও,Gender abusive,yes,Explicit sexual coercion,18,Not useful as question,unsafe,Sexual violence,S7,Coercive sexual threat
এ পাকিস্তানের কাছে টেষ্টে উইকেটে হার  তাদের কাছেই এশিয়াকাপ ফাইনালে রানে হার এবছর টি বিশ্বকাপে ভারতের কাছে রানে হার ইংলিশদের সাথে প্রথম ওডিআইতে জেতা ম্যাচ হার আর নিতে পারছিনা শুধু কালকে ম্যাচটা জিত ভাই সব দুঃখ ভুলে যাবো কথা দিলাম,Geopolitical,no,Sports frustration narrative,18,Is this about fan sentiment?,safe,Sports commentary,NA,NA
মালাউনদের এই অধপতনে আমরা খুশি,Religious,yes,Expression of joy at group downfall,18,Not useful as question,unsafe,Hate speech,S9,Group hostility
কুত্তার বাচ্চা বাংলাদেশ সাম্প্রদায়িক দেশ  সামনে আয় তোর সাম্প্রদায়িকতা তোর মায়ের,Religious,yes,Religious harassment with family insult,18,Not useful as question,unsafe,Hate speech,S9,Abusive religious insult
সেকহাচিনা এগুলা দেখবেনা দেখবেশুদু কথা কারেকোন মিরাজ কথাকারে কোন রাজাকার খেয়ে দেয়ে কোনো কাজনাই,Political,yes,Dismissive political insult,18,Not useful as question,unsafe,Political harassment,S10,Dismissive abuse
ভারত ও পাকিস্তানের তথাকথিত যুদ্ধের এত অজানা অস্ত্রের কল্পকাহিনী ও খবরা খবর স্বয়ং ভারতীয় ও পাকিস্তানীরা জানে না যতটুকু জানে বাংলাদেশী কিছু ফেইসবুক ব্যবহারকারী ও পত্র পত্রিকার তথাকথিত সাংঘাতিকরা থুক্কু সংবাদিকরা যুদ্ধ মারামারি কিছুই তো হবেনা অহেতুক আমাদের ঘুম হারাম করে এই তথাকথিত সংবাদিকরা,Geopolitical,no,Meta-critique of misinformation,18,How does misinformation spread?,safe,Media criticism,NA,NA
হ্যা পাকিস্থানের বাংলাদেশে কিছু জারজ সন্তান পাওনা আছে যারা হল স্বাধীনতা বিরোধী রাজাকার  খালেদা তারেক সহ তাদের ফেরত দেয়া হউক,Political,yes,Dehumanizing political labeling,18,Not useful as question,unsafe,Political harassment,S10,Dehumanization
হাহাহ    সব আবাল বাংলাদেশ এ,Personal,yes,Collective insult,18,Not useful as question,unsafe,Harassment,S10,Collective derogation
তোমার মত এত সুন্দর মেয়ে কাছে পাইলে কত যে মজা করতাম  দেশ থেকে বিদেশে ঘুরতে নিয়া যাইতাম  অনেক আনন্দ করে ঘন্টার পর ঘন্ট চুদিতাম,Gender abusive,yes,Explicit sexual fantasy about individual,18,Not useful as question,unsafe,Sexual violence,S7,Sexual coercion and objectification

