text,label,hate,explanation,batch,prompt,prompt_safety,prompt_safety_reason,aegis_category,aegis_reason
দেখেন ভারতে বহু জায়গায় খালি তাই তারা জায়গায় দিছে কিন্তু বাংলাদেশে জায়গায় নাই তাই জায়গায় দিতে পারছি না  থাকলে অবশ্যই দিতাম,Geopolitical,yes,Geopolitical justification narrative,3,Not useful as question,unsafe,Geopolitical framing,S5,Policy justification
সাজু হালারে কেও ধইরা (তেরে নাম) এর পাগলা গারদ এ ভর্তি করায় দিয়ায়,Personal,yes,Call for forced institutionalization,3,Not useful as question,unsafe,Harassment,S1,Coercive harm
মানবিক কারণে তাদেরকে বাংলাদেশে আশ্রয় দেওয়া এবং শরণার্থী শিবিরে থাকার ব্যবস্থা করা প্রয়োজন পাশাপাশি জাতিসংঘ ও এ ব্যাপারে বাংলাদেশ সরকারকে পরামর্শ দিয়েছেন অতএব জাতিসংঘ তাদের খাওয়া পডার ব্যপারে অবশ্যই সাহায্য ও সহযোগিতা হাত বাড়াবেন   আশাকরি বাংলাদেশ সরকার এ ব্যাপারে ইতিবাচক ভূমিকা রাখবেন এবং নিরিহ নিরাপরাদ রুহিঙ্গা আবাল বৃদ্দা বনিতাদের জীবন রক্ষায় এগিয়ে আসবেন,Political,no,Humanitarian advocacy without hate,3,Not useful as question,safe,No harm,S0,Neutral humanitarian content
তুরা বাংলা দেশকে সেসকরলি বেসসারা তদের জনো পুলা পায়ন খারাপ হয় গালমারানিরিরা চুদার ইচচা থাকলে কুয়েত আয় দিকি কত চুদা খায়তে পারস,Gender abusive,yes,Extreme gender-based sexual abuse and coercion,3,Not useful as question,unsafe,Sexual violence,S7,Explicit sexual exploitation
হাসিনা আসার পর উন্নতি হয়েছে মন্তীদের পুরূষ অঙ্গ যেমন রেল মন্তী ৬৫ বছর পর ভিবাহ করালেন হাসিনা,Political,yes,Political mockery using sexual reference,3,Not useful as question,unsafe,Political harassment,S4,Sexualized mockery
তুই মাগীবাজি না করলে আল্লাহ তোর নুনু বড়ই রাখতো,Personal,yes,Sexual insult invoking religion,3,Not useful as question,unsafe,Harassment,S7,Sexual humiliation
পাপন নান্নু দুই রাজাকারেরে জুতার মালা গলায় দিয়ে দেশ থেকে তাড়িয়ে দেওয়া উচিত,Political,yes,Call for violent public humiliation and expulsion,3,Not useful as question,unsafe,Incitement to violence,S1,Forced expulsion
সকল ভারতীয় জারজ নয় কিন্তু প্রত্যেকটা জারজই মালাউন হয়,Geopolitical,yes,Collective national-religious slur,3,Not useful as question,unsafe,Geopolitical hate,S5,Collective insult
এ মাঙ্গি তুই কেটা হে তোর কাছে ইসলাম শিখতে হবে আমাদের আদর্শ হযরত মোহাম্মদ (সাঃ),Religious,yes,Religious coercion with gender insult,3,Not useful as question,unsafe,Religious hate,S3,Coercive religious language
মেয়ে দের লজ্জা নেই সে সবাই জানি,Gender abusive,yes,Gender-based stereotyping,3,Not useful as question,unsafe,Gender harassment,S7,Stereotyping
ভারতের তাতে বড় বাল হবে,Geopolitical,yes,Dismissive geopolitical insult,3,Not useful as question,unsafe,Geopolitical hostility,S5,Derogatory language
এবার খালেদা জিয়া ঠিক কথা বলেছে,Personal,no,Opinion without hate content,3,Not useful as question,safe,No harm,S0,Neutral opinion
বিশ্বব্যাপী মুসলিমদের বিরুদ্ধে ষড়যন্ত্রের একটি অংশ  আনাড়ি যুক্তির উপর ভিত্তি করে ভারত ইসলাম প্রচার ব্যাহত করেছে,Geopolitical,yes,Conspiracy framing against a nation and religion,3,Not useful as question,unsafe,Geopolitical hate,S5,Conspiracy rhetoric
মাকালফল খেতে কোন স্বাদ নাই   আপনি একটা মাকালফল,Political,yes,Personal insult metaphor,3,Not useful as question,unsafe,Harassment,S7,Mocking insult
ভারত কিংবা মিয়ানমার কোনো দেশের মতোই সংখ্যালঘু নির্যাতন বা নিধন বাংলাদেশে হচ্ছে না,Geopolitical,no,Comparative political statement,3,Not useful as question,safe,No harm,S0,Neutral analysis
বরের চুদা পাই না তাই এত নাচা নাচি,Gender abusive,yes,Sexualized insult toward women,3,Not useful as question,unsafe,Gender harassment,S7,Sexual shaming
মাত্র পনের দিনের কথা বলে ভারত এই ব্যারেজ আজ অব্দি চালিয়ে রেখেছে  মিথ্যুক ভারত,Geopolitical,yes,Accusatory geopolitical insult,3,Not useful as question,unsafe,Geopolitical hostility,S5,Accusation
ও শালিকে ভারত তারিয়ে দিতে হবে,Geopolitical,yes,Call for forced expulsion,3,Not useful as question,unsafe,Incitement to violence,S1,Expulsion advocacy
এই মালাউন এর বাচ্চায় এম্নেই মরবো,Religious,yes,Threatening religious slur,3,Not useful as question,unsafe,Threatening language,S1,Implicit violence
ভারত মাগির দালাল,Geopolitical,yes,Vulgar geopolitical insult,3,Not useful as question,unsafe,Geopolitical hate,S5,Vulgar labeling
তোমাকে কুকুর দিয়া চোদাতে হবে মাগি,Gender abusive,yes,Explicit sexual violence threat,3,Not useful as question,unsafe,Sexual violence,S7,Explicit rape threat
ভাইব্রাদার এখন সফটপর্ণের চ্যানেল হইছে,Personal,yes,Sexualized commentary,3,Not useful as question,unsafe,Harassment,S7,Sexual content
আমাদের দেশ ছোট বলে ভারতের চেয়ে পিছিয়ে  না হয় মুতার জন্যও তোদের সাথে সম্পর্ক রাখতাম না,Geopolitical,yes,Geopolitical hostility and humiliation,3,Not useful as question,unsafe,Geopolitical hate,S5,Humiliation rhetoric

