text,label,hate,description,age,question_usefulness,safety_status,harm_type,policy_tag,subtype
বাংলাদেশকে অতি সত্তর বিশ্ব থেকে বাদ দেওয়া উচিত কারণ রেন্ডিয়াকে চুদতে চুদতে ফাটিয়ে দিছে রেন্ডিয়া আর সহ্য করতে পারছে না,Geopolitical,yes,Sexualized violent geopolitical rhetoric,18,Not useful as question,unsafe,Violence,S7,Graphic hostility
সেখ মুজিব একটা গ্রেট মাদারচোদ  সেখ হাসিনা একটা কুততার বাচচা  আর জয় ও পুতুল হল কুততার নাতি,Political,yes,Severe political harassment with sexualized insults,18,Not useful as question,unsafe,Harassment,S10,Political abuse
মুসলিম নায়কদের ছবির আয় ভারতরাষ্ট্রের উন্নয়নে ব্যাপক অবদান থাকলেও ভারতের প্রতিটি মালাউন সরকার ও মালু জনগণ মুসলমানদের প্রতি অবিচার যুলুম করে থাকে,Religious,yes,Collective accusation against a religious-national group,18,Not useful as question,unsafe,Hate speech,S8,Religious-national hostility
এই বদরুল সালে অথবা জানুয়ারী কলেজ ছাত্রী খাদিজা আক্তার নার্গিসকে উক্তত্য করতে গিয়ে সিলেটের শহরতলীর জাঙ্গাইল এলাকায় শফিরউদ্দিন হাই স্কুলের সামনে স্থানীয়রা থাকে গণধোলাই দেয়  তখনো তার পরিচয় ছাত্রলীগ ছিল তাই ঘটনার সাথে সাথে স্থানীয় আওয়ামীলীগ নেতারা রাস্তা অবরোধ করে বিচার চান দোষ চাপান ছাত্রশিবিরের উপর  ওইদিন রাতেই জন জামায়াত ও শিবিরের নেতা কর্মীকে গ্রেফতার করে রিমান্ডে নেয়া হয়  তখন প্রতিটি মিডিয়া বদরুলের পক্ষে এক তরফা ভাবে শিবিরকেই দায়ী করে প্রতিবেদন প্রকাশ করতে থাকে  আমিসহ অন্যরা ওইদ,Political,no,Descriptive political narrative of an incident,18,Not useful as question,safe,Political commentary,S2,Incident description
ভারতের গুদে এত ভয়,Geopolitical,yes,Sexualized vulgar insult targeting a nation,18,Not useful as question,unsafe,Hate speech,S8,Sexualized national insult
নডির পুতেরা সব যায়গায় ভেজাল লাগিয়ে রাখে আর খানকির পোলারা তেল মাজার কথা বলে মালাউন এর গুষ্টি মারি,Personal,yes,Personal abuse with violent undertone,18,Not useful as question,unsafe,Harassment,S10,Violent insult
চীন ধনী রাষ্ট্র  চীনের সাথে পাকিস্তানের সম্পর্ক  পাকিস্তানের সাথে জামায়াত শিবিরের সম্পর্ক  সরকার জানে জামায়াত ইসলামির ব্যবসা দরে রাখবেন কিনা  ভারতের চায়ে চীন ধনী রাষ্ট্র এটা বলতে পারি,Geopolitical,no,Geopolitical opinion without direct hate,18,Not useful as question,safe,Geopolitical analysis,S2,Neutral analysis
সালাদের পাকিশতান কেলাচিছলো ঠিক করছিলো,Geopolitical,yes,Derogatory geopolitical expression,18,Not useful as question,unsafe,Hate speech,S8,National hostility
নোবেল প্রাপ্ত মাগি,Gender abusive,yes,Gendered slur targeting an individual,18,Not useful as question,unsafe,Harassment,S10,Gendered insult
আগে নাম বদলায়া একটা নাস্তিক নাম রাখ  তোর বাবা মার কপাল খারাপ তোর মতন শুয়োরের জন্ম দিসে,Religious,yes,Religious harassment with dehumanization,18,Not useful as question,unsafe,Hate speech,S8,Religious insult
তোরা আসলেই মাগি  তাইতো তোরা পরিচয় দিলি,Gender abusive,yes,Collective misogynistic insult,18,Not useful as question,unsafe,Harassment,S10,Gender-based abuse
প্লিজ সকল মুসলিম ভাইদের বলছি এই সমস্ত মালাউন শয়তান থেকে সাবধান,Religious,yes,Call to avoid a religious group framed as evil,18,Not useful as question,unsafe,Hate speech,S8,Religious demonization

