text,vulgar,hate,religious,threat,troll,Insult
কাজল আরেফিন অমি ভাইয়ের নাটকে নিশু ভাই বাংলা ছবির বাপ্পা রাজ নায়োকের মত হচ্ছে অনেক টাযাই হোকঅমি ভাই লাভ উঅসাধারণ নাটক উপহার দেয়ার জন্য,0,0,0,0,0,0
সালে আমার বেস্ট নাটক নিশু বস তুমি পার ভাল কিছু করে দেখাতে অল দা বেস্ট নিশু বস,0,0,0,0,0,0
অমি ভাই কে ধন্নবাদ নামাজ এর ছিন গুলা অনেক ভালো লাগল আর ডায়লগ গুলা ও মান সম্মত নিশো ভাই কে অনেক সুন্ধর লাগছে১কথায় অশাধারন হইছে,0,0,0,0,0,0
অনেক ভালো একটা নাটক ছিলোঅনেক ভালো লাগলো ধন্যবাদ পরিচালক সাহেব কেআরফান নিশো বস,0,0,0,0,0,0
আজ যদি ভারতের হিন্দুদের এই অবস্তা হত তাহলে বাংলাদেশের সরকার মুসলমানদেরকে সরিয়ে হিন্দুদের জায়গা করে দিত আমাদের সরকার তো আর মুসলমান না যে মুসলমানদেরকে এই দেশে একটু জায়গা দিবে,0,1,0,0,0,0
বাংলা কবির সিং অসামান্য অভিনয় নিশো দা৷ ২০১৯ এর সেরা নাটক৷,0,0,0,0,0,0
তোর ভাগে ভিক্ষার টাকা পাছ নাই তাই হাম্বা হাম্বা করতে আছোছ । চিন্তা করিছ না তোগ ভারতের সবকটা ভিখারি কে দুই পয়সা ভিক্ষা দিয়ে দিবে এইদেশ ।,0,1,0,0,0,0
আল্লাহুর কাছে ফেজবুক হ্যাক করার বিচার দিলেন?মনডা চাইতাছে টাকা দিয়া ১টা লোক রাখতে দেন তাকে দিয়ে ১টানা ১মুজা দিয়ে ১মাস জুতা পরিয়ে দেন সেই মুজা ভিজিয়ে আপনাকে ১গ্যাস বিশুদ্ধ পানি খাওয়াতে,0,0,0,0,1,1
"আমাদের এই হাসিমুখের কারণে পলিসিমেকাররা পাড় পেয়ে যাচ্ছে...ধরেই নিচ্ছেন, ‘ধুরু পাবলিক আরেকটু সজাগ হলেই তো হয়ে যায়’",0,0,0,0,0,0
"ঐতিহাসিক পলাশী দিবসে নব্য ঘসেটি বেগম, মীর জাফর ও রায় দুর্লভদের  মনে পরে",0,1,0,0,0,0
এমন অস্থির একটা নাটক আমাদের উপহার দেওয়ার জন্য অনেক ধন্যবাদভালবাসা কি আজ ও জানা হলোনা,0,0,0,0,0,0
গ্রামগঞ্জে এখনো অনেক ফ্যামিলি আছে এরকম ঘটনা ঘটে আমি আশা করি তাদেরকে এই নাটকটা দেখার জন্য অসাধারণ একটা নাটক,0,0,0,0,0,0
তর জন্ম কোথায় হইছে পতিতালয়ে নাকি বস্তি পাড়ায়। জারজের বাচ্চা তর বাবা কয়টা তর মায়ের কাছে উত্তরটা জানবি। তোকে জারজ বললেও জারজ কে অপমান করা হবে তুই একটা নিকৃষ্ট জানোয়ারের বাচ্চা। নিকৃষ্ট দেশের নিকৃষ্ট জাতি মালাউনরা।,1,0,0,0,0,1
শালার পুতেরা মুসলমান কে বলে জংলী ।তোর বাপ মালাউনের বাচ্চা মরলে জংলী বলছ কেন ।।,0,0,1,0,0,0
ও তো হিন্দু মায়ানমারে কত মুসলিম পরিবার মারাগেল তা নিয়ে কোন কথা বলে না আমার মনে হয় এর পর ভারতের গরূ মারা গেলে শোক দিবস পালন করবে,0,1,0,0,0,0
বৃন্দাবন দাশের নাটক সত্যিকার অর্থেই বাস্তবমুখী ওনার লেখা এমন কোন নাটক নেই যা আমি দেখিনি,0,0,0,0,0,0
অসাধারন একটা নাটক দেখলামআমার দেখা নাটকের মধ্যে এটা সেরা নাটক এবং নাটক থেকে বাস্তব কিছু শিক্ষা গ্রহন করলাম ধন্যবাদ নাটকের কলাকৌশলি এবং অভিনেতাদের,0,0,0,0,0,0
পরিপূর্ণ গল্পখুব ভাল লেগেছে পরিচালককে ধন্যবাদ এত সুন্দর নাটক উপহার,0,0,0,0,0,0
"আমি সাথে সাথে হাত নামিয়ে বললাম, ‘আন্টি আমার হার্ট দুর্বল... আমি ভিতরে থাকব না’",0,0,0,0,0,0
কেউ ছাগল পাঠা থাকলে বাংলাদেশ অসতো । দেখায় দেখুন বাংলাদেশের বাশ টা কী রকম হবে,0,0,0,1,0,0
এই প্রথম কোনো নাটকে নামাজের কথা শুনলাম নিশু বস্ অল দা বেস্ট,0,0,0,0,0,0
এটাই বন্ধুর প্রতি বন্ধুর ভালোবাসা খুব ভালো একটা নাটক খুব ভাললাগছে,0,0,0,0,0,0
সত্যিই নাটক টা সত্যিই কারের ভালবাসার নাটক আর যাকে সত্যিই কারো ভালবাসা যাই তাকে কখনো ভুলা যায়না আর এরি নাম ভালবাসা,0,0,0,0,0,0
লেফটেন্যান্ট কমান্ডার জিলানিকে ক্যান্টনমেন্টের কেউ চিনেন না এরকম মানুষ খুব কম আছে,0,0,0,0,0,0
লা হাওলা ওয়ালা কুওয়াতা ইল্লা বিল্লা এই বেডি কি কয় বেডির বলে যৌবন আছে,1,0,0,0,1,0
আচছালামু আলাইকুম হিরো আলম ভাই আমি কাতার থেকে আপনার সাথে আছি আপনার সাথে কনট্রাক করবো,0,0,0,0,0,0
স্যারের কথা... “তোর কোনও কাম নাই...তুই শুধু কেউ সামনে থেকে বল নিয়ে গোলপোস্টের দিকে আসলে চোখ মুখ খিঁচায়ে তার দিকে তেড়ে যাবি...পারবি না?”,0,0,0,0,0,0
নিশো ভাই আপনার ওভিনয় রে ভাই মানতেই হইবো আসা করি ২০১৯ এর সেরা নাটক এই টাই হবে,0,0,0,0,0,0
আমি মনে করি আমাদের দেশের নাটক গুলো অন্য দেশের চেয়ে অনেক সুন্দর ধন্যবাদ জানাই পরিচালকে যিনি আমাদের জন্য ভালো মানের নাটক বানিয়েছেন আশা করি ভবিষ্যৎতে আরো বানাবেন,0,0,0,0,0,0
"মনে হয় মন্ত্রীর বাপের টাকায় পদ্মা সেতু নির্মাণ করা হচ্ছে, অভদ্র বেয়াদব মন্ত্রী।।",0,0,0,0,0,1
ভারতের ট্রেন দুরঘটনায় সমবেদনা আর বারমার হাজার হাজার মুসলমানদের হত্যা আর অত্যাচার করা হচ্ছে তাদের জন্য কোন সমবেদনা নেই কি?মুসলমান হিসেবে,0,0,1,0,0,0
আওয়ামীলীগ কর্মীদের এই একটা প্রব্লেম তাদের বিরুদ্ধে কেউ কিছু বললেই রাজাকার হয়ে যায় পাকিস্তানী হয়ে যায়।,0,1,0,0,0,0
ইউটিউব এ একাউন্ট খুলছোস? ভালো কিছু বানা যাতে মানুষ দেখে,0,0,0,0,0,0
মুক্তিযুদ্ধে বাংলাদেশী শহীদ হল লক্ষ লক্ষ আর ভারতের মাত্র ষোল শত প্রায়। তারপরও কিছু এদেশে ভারতীয়দের দালাল সারাক্ষণ চিল্লাচ্ছে যে ভারতের অবদান নাকি অনেক বেশি।,0,1,0,0,0,0
অনেক দিন পর একটা ভালো নাটক দেখলাম অসাধারন ধন্যবাদ সবাইকে এ নাটকে যারা কাজ করেচেন এমন ভালো কিছু সব সময় আসা করি,0,0,0,0,0,0
মোহাম্মদ অনেক মেয়ে জোর জবসতি ভোগ  করেছেএবং ওর মতো কেউ মরণ জন্তনা ভোগ করে নাই ।তাই মানবজাতি নারী ভোগ করার কথা চিন্তাও করবেন না,1,0,1,0,0,1
নারিরা পতিতা হয় বেশী ভাগ বেকার সবামী ও মাতাল সবামীদের জন্য পাপটা ঐ বেকার ও মাতাল সবামীর,0,1,0,0,0,0
রিয়াজ আর সালমান শাহ ছাড়া আর একটা নায়কও ভাল লাগে না অল দ্যা বেষ্ট রিয়াজ ভাই,0,0,0,0,0,0
পায়েল এর বাজার একটু কম অন্য নায়িকা দের থেকে তাই শরীর দেখাচ্ছে পায়েল,1,0,0,0,0,0
"আজ থেকেই প্রত্যেকদিন বাথরুমে যাওয়ার সময় তোমার ছবিটা দেখে দেখে যাবো , সাথে একটা তেলের বোতল‌ও থাকবে দোয়া ক‌ইরো যেন সফল হতে পারি",1,1,0,0,1,0
"দেই না কারণ, আমি সারা জীবন এই লাইনটা গর্ব করে বলতে চাই, “এদের কেউই আমাকে দেখেনি... তাও আমাকে ফলো করে”",0,0,0,0,0,0
মেয়েটার পাগলামী দেখে আসলেই অনেক ভালো লাগলো আমাদের সবার প্রেম যেন এরকম মধুময় হয় তাই আমরা একে অপরকে না ঠকিয়ে দুজনের মতামত নিয়ে বিয়ের আসরে বসা অনেক ভালো,0,0,0,0,0,0
"“আমি নড়াইল থানার এসআই মাসুদ বলছি, আপনার মেয়েকে পাওয়া গেছে”",0,0,0,0,0,0
ব্যাপক বিনোদন খুব খুব হাসছি নাটকটা দেখে এমন মজার মজার আরো নাটক দেখতে চাই সবার অভিনয় ভীষণ সুন্দর ফুটিয়ে তুলেছেন,0,0,0,0,0,0
ওকে সমস্ত কাজ থেকে বহিস্কার করা দরকার একগুরে করে রাখা,0,0,0,1,0,0
নির্লজ্জ বিএনপি নিজেদের মুক্তিযুদ্ধের পক্ষের দল বলে দাবী করে। অশিক্ষিত হেফাজতিদের ইসলামের সুড়সুড়ি দিয়ে আস্তিক/নাস্তিক বিতর্ক তৈরী করে তাদের সকলরকম প্রশ্রয় দিয়ে রাস্তায় নামিয়ে গুণ্ডামি করিয়েছে বিএনপি জামাতিরা।,0,1,0,0,0,0
"আমি মনে মনে বললাম, আমারে চিনস না... দরকারে হাসপাতালের স্ট্রেচার নিয়ে ৪ জন লোক ভাড়া করে সিঁড়ি দিয়ে উঠা নামা করবো... তাও এই চ্যালেঞ্জ একসেপ্ট করলাম",0,0,0,0,0,0
হিন্দু র্মূখ মালাউনদের ঐ ক্লাবে ঠুকলে গলা ঠাক্কা দিয়ে বের করে দিতে হবে । কারন মালাউনরা টয়লেট করে পানি ব্যবহার করেন ।ওদের গায়ের থেকে গন্ধ আসে হাহাহা হা ।,0,0,1,0,0,0
তোরে পাইলে মাগি তোর পিতা ফাটাইয়া পালামু আবার পদ্দা করন চোদাই ছত,1,0,0,0,0,1
ওরা এক সাথে থাকবে নাকি বিচ্ছেদে য়াবে একান্ত তাদের ব্যক্তিগত ব্যাপার আর আমাদের ঘুম হচ্ছে না,0,0,0,0,1,0
"আফাঢারে কেউ বুঝাও যে তার চেহারা দেখে তার জামাই ভয় পেয়ে যায়, সেজন্য তার যৌবনের জ্বালা মিটাতে এসেও ভয়ে স্বামী পালিয়ে যায়",1,0,0,0,1,0
